sample,bootstrap_id,model,label,fvu,mae
full_21,40,fin+x+text,H+X+Z,0.10102241001561127,3.0357573380756806
full_21,41,fin,H,0.5305706105161886,8.983066854380128
full_21,41,fin+x,H+X,0.144768848701979,4.652062546588265
full_21,41,fin+text,H+Z,0.1842547126286708,4.747844045909151
full_21,41,fin+x+text,H+X+Z,0.1500902279232048,3.8558668326119965
full_21,42,fin,H,0.627277290356596,9.715661200629057
full_21,42,fin+x,H+X,0.13315263169211008,4.3640526421485015
full_21,42,fin+text,H+Z,0.13418327889565307,4.516096588659945
full_21,42,fin+x+text,H+X+Z,0.09497078157817856,3.5298105221461014
full_21,43,fin,H,0.17681909256986134,5.358299682688227
full_21,43,fin+x,H+X,0.009160338051068192,1.5231738246782194
full_21,43,fin+text,H+Z,0.01583725802172551,1.9787159101050087
full_21,43,fin+x+text,H+X+Z,0.014245636015019573,1.822253149524853
full_21,44,fin,H,0.20648553452188245,7.293937271218714
full_21,44,fin+x,H+X,0.09185707320339967,4.981613462020715
full_21,44,fin+text,H+Z,0.19321142896364776,6.296093323558389
full_21,44,fin+x+text,H+X+Z,0.17726081931381052,6.0368364561798895
full_21,45,fin,H,0.26726531476456666,7.180114852001831
full_21,45,fin+x,H+X,0.049274542296463816,2.9573359708826494
full_21,45,fin+text,H+Z,0.04727337644476599,2.752802355756367
full_21,45,fin+x+text,H+X+Z,0.04505441562866563,2.795533727589225
full_21,46,fin,H,0.2165972414305118,6.792081269402473
full_21,46,fin+x,H+X,0.06596133586699364,4.038172702527464
full_21,46,fin+text,H+Z,0.12479686994048234,4.911067707820951
full_21,46,fin+x+text,H+X+Z,0.11394219433359812,4.461199403459622
full_21,47,fin,H,0.2132691174529732,9.074038913489199
full_21,47,fin+x,H+X,0.037340429620765364,3.9509047587314154
full_21,47,fin+text,H+Z,0.03987893916641475,3.684903747849279
full_21,47,fin+x+text,H+X+Z,0.03436236765212948,3.539251958643015
full_21,48,fin,H,0.13861177928394,5.185690185179144
full_21,48,fin+x,H+X,0.04537615091680883,3.25885245262646
full_21,48,fin+text,H+Z,0.09668733573044092,3.7279935542447347
full_21,48,fin+x+text,H+X+Z,0.09401114480711756,3.65064926920197
full_21,49,fin,H,0.21566932091344246,6.702482399704038
full_21,49,fin+x,H+X,0.07349290023593733,3.8936450974078887
full_21,49,fin+text,H+Z,0.17852344978697757,5.577117146074937
full_21,49,fin+x+text,H+X+Z,0.16357267357690697,4.9790918055410005
full_21,50,fin,H,0.18194464330587465,6.030288666584042
full_21,50,fin+x,H+X,0.15874893644627786,5.6016426752884065
full_21,50,fin+text,H+Z,0.22573110091144064,5.486330673752403
full_21,50,fin+x+text,H+X+Z,0.1953540718809882,5.1216106857085535
full_21,51,fin,H,0.23098271061293593,7.587129609259919
full_21,51,fin+x,H+X,0.07042270071246032,3.9418137472865213
full_21,51,fin+text,H+Z,0.04985183608243977,3.00751999038309
full_21,51,fin+x+text,H+X+Z,0.044700761215564884,2.9540334311774576
full_21,52,fin,H,0.17396292346800563,5.454609010637721
full_21,52,fin+x,H+X,0.05717611849894734,2.9944985634001005
full_21,52,fin+text,H+Z,0.08784402714503484,3.4718911834889816
full_21,52,fin+x+text,H+X+Z,0.07445310299183289,3.031562358259853
full_21,53,fin,H,0.1575519492348042,5.690284975701455
full_21,53,fin+x,H+X,0.08040232700723282,4.10515725694189
full_21,53,fin+text,H+Z,0.10359502077664923,4.155751147991867
full_21,53,fin+x+text,H+X+Z,0.07864709644067784,3.2436072718653612
full_21,54,fin,H,0.16334037675692037,7.328161889928564
full_21,54,fin+x,H+X,0.07064671253476859,4.660819222370417
full_21,54,fin+text,H+Z,0.08403491352036468,4.295001657784352
full_21,54,fin+x+text,H+X+Z,0.07016706378630083,3.7019742289316873
full_21,55,fin,H,0.14954007838433211,6.448055035663943
full_21,55,fin+x,H+X,0.032307917349915165,2.8099669524203215
full_21,55,fin+text,H+Z,0.05934502431177329,3.261636965520569
full_21,55,fin+x+text,H+X+Z,0.0646009202977899,3.598532105210096
full_21,56,fin,H,0.14820407094654645,4.814189156502137
full_21,56,fin+x,H+X,0.06164932243587387,3.473889181079491
full_21,56,fin+text,H+Z,0.1025126177261745,3.729235873018069
full_21,56,fin+x+text,H+X+Z,0.09224345411125856,3.5540619468543913
full_21,57,fin,H,0.23955627068037025,5.703278761048776
full_21,57,fin+x,H+X,0.06019574473174102,2.8842705543547953
full_21,57,fin+text,H+Z,0.04911801342273968,2.786458598786385
full_21,57,fin+x+text,H+X+Z,0.03741868752431938,2.4556751088414703
full_21,58,fin,H,0.2928792212236112,10.14144589932935
full_21,58,fin+x,H+X,0.09661827353488997,5.869539988445503
full_21,58,fin+text,H+Z,0.09454952190133546,4.70242850199149
full_21,58,fin+x+text,H+X+Z,0.07891398613131397,4.350628582773484
full_21,59,fin,H,0.4276468862005626,10.246663133916517
full_21,59,fin+x,H+X,0.08395306463878545,4.170599570246581
full_21,59,fin+text,H+Z,0.1273614797599867,5.186879494773173
full_21,59,fin+x+text,H+X+Z,0.10580942691053141,4.554811166284436
full_21,60,fin,H,0.14386252674295677,6.44219956652967
full_21,60,fin+x,H+X,0.03268089580034169,3.188552614547923
full_21,60,fin+text,H+Z,0.024871970730325578,2.6777295643702925
full_21,60,fin+x+text,H+X+Z,0.029268707609440652,3.0566652238895515
full_21,61,fin,H,0.2499771137452504,7.204297467776239
full_21,61,fin+x,H+X,0.05217295104965072,3.1672113770313914
full_21,61,fin+text,H+Z,0.05545790366039192,3.210083298291033
full_21,61,fin+x+text,H+X+Z,0.046347255141206016,2.943297787095711
full_21,62,fin,H,0.16263687968176332,5.192511497452243
